order_id,journey_id,conversion_at,conversion_date,revenue,currency,order_status,reporting_timezone,synthetic,source_row_id
SS-O0001,SS-J0001,2026-08-24T09:00:00.000Z,2026-08-24,200,USD,completed,Africa/Nairobi,true,orders-0001
SS-O0002,SS-J0002,2026-08-25T09:00:00.000Z,2026-08-25,200,USD,completed,Africa/Nairobi,true,orders-0002
SS-O0003,SS-J0003,2026-08-26T09:00:00.000Z,2026-08-26,200,USD,completed,Africa/Nairobi,true,orders-0003
SS-O0004,SS-J0004,2026-08-27T09:00:00.000Z,2026-08-27,200,USD,completed,Africa/Nairobi,true,orders-0004
SS-O0005,SS-J0005,2026-08-28T09:00:00.000Z,2026-08-28,200,USD,completed,Africa/Nairobi,true,orders-0005
SS-O0006,SS-J0006,2026-08-29T09:00:00.000Z,2026-08-29,200,USD,completed,Africa/Nairobi,true,orders-0006
SS-O0007,SS-J0007,2026-08-30T09:00:00.000Z,2026-08-30,200,USD,completed,Africa/Nairobi,true,orders-0007
SS-O0008,SS-J0008,2026-08-31T09:00:00.000Z,2026-08-31,200,USD,completed,Africa/Nairobi,true,orders-0008
SS-O0009,SS-J0009,2026-09-01T09:00:00.000Z,2026-09-01,200,USD,completed,Africa/Nairobi,true,orders-0009
SS-O0010,SS-J0010,2026-09-02T09:00:00.000Z,2026-09-02,200,USD,completed,Africa/Nairobi,true,orders-0010
SS-O0011,SS-J0011,2026-09-03T09:00:00.000Z,2026-09-03,200,USD,completed,Africa/Nairobi,true,orders-0011
SS-O0012,SS-J0012,2026-09-04T09:00:00.000Z,2026-09-04,200,USD,completed,Africa/Nairobi,true,orders-0012
SS-O0013,SS-J0013,2026-09-05T09:00:00.000Z,2026-09-05,200,USD,completed,Africa/Nairobi,true,orders-0013
SS-O0014,SS-J0014,2026-09-06T09:00:00.000Z,2026-09-06,200,USD,completed,Africa/Nairobi,true,orders-0014
SS-O0015,SS-J0015,2026-09-07T09:00:00.000Z,2026-09-07,200,USD,completed,Africa/Nairobi,true,orders-0015
SS-O0016,SS-J0016,2026-09-08T09:00:00.000Z,2026-09-08,200,USD,completed,Africa/Nairobi,true,orders-0016
SS-O0017,SS-J0017,2026-09-09T09:00:00.000Z,2026-09-09,200,USD,completed,Africa/Nairobi,true,orders-0017
SS-O0018,SS-J0018,2026-09-10T09:00:00.000Z,2026-09-10,200,USD,completed,Africa/Nairobi,true,orders-0018
SS-O0019,SS-J0019,2026-09-11T09:00:00.000Z,2026-09-11,200,USD,completed,Africa/Nairobi,true,orders-0019
SS-O0020,SS-J0020,2026-09-12T09:00:00.000Z,2026-09-12,200,USD,completed,Africa/Nairobi,true,orders-0020
SS-O0021,SS-J0021,2026-09-13T09:00:00.000Z,2026-09-13,200,USD,completed,Africa/Nairobi,true,orders-0021
SS-O0022,SS-J0022,2026-09-14T09:00:00.000Z,2026-09-14,200,USD,completed,Africa/Nairobi,true,orders-0022
SS-O0023,SS-J0023,2026-09-15T09:00:00.000Z,2026-09-15,200,USD,completed,Africa/Nairobi,true,orders-0023
SS-O0024,SS-J0024,2026-09-16T09:00:00.000Z,2026-09-16,200,USD,completed,Africa/Nairobi,true,orders-0024
SS-O0025,SS-J0025,2026-09-17T09:00:00.000Z,2026-09-17,200,USD,completed,Africa/Nairobi,true,orders-0025
SS-O0026,SS-J0026,2026-09-18T09:00:00.000Z,2026-09-18,200,USD,completed,Africa/Nairobi,true,orders-0026
SS-O0027,SS-J0027,2026-09-19T09:00:00.000Z,2026-09-19,200,USD,completed,Africa/Nairobi,true,orders-0027
SS-O0028,SS-J0028,2026-09-20T09:00:00.000Z,2026-09-20,200,USD,completed,Africa/Nairobi,true,orders-0028
SS-O0029,SS-J0029,2026-08-24T10:00:00.000Z,2026-08-24,200,USD,completed,Africa/Nairobi,true,orders-0029
SS-O0030,SS-J0030,2026-08-25T10:00:00.000Z,2026-08-25,200,USD,completed,Africa/Nairobi,true,orders-0030
SS-O0031,SS-J0031,2026-08-26T10:00:00.000Z,2026-08-26,200,USD,completed,Africa/Nairobi,true,orders-0031
SS-O0032,SS-J0032,2026-08-27T10:00:00.000Z,2026-08-27,200,USD,completed,Africa/Nairobi,true,orders-0032
SS-O0033,SS-J0033,2026-08-28T10:00:00.000Z,2026-08-28,200,USD,completed,Africa/Nairobi,true,orders-0033
SS-O0034,SS-J0034,2026-08-29T10:00:00.000Z,2026-08-29,200,USD,completed,Africa/Nairobi,true,orders-0034
SS-O0035,SS-J0035,2026-08-30T10:00:00.000Z,2026-08-30,200,USD,completed,Africa/Nairobi,true,orders-0035
SS-O0036,SS-J0036,2026-08-31T10:00:00.000Z,2026-08-31,200,USD,completed,Africa/Nairobi,true,orders-0036
SS-O0037,SS-J0037,2026-09-01T10:00:00.000Z,2026-09-01,200,USD,completed,Africa/Nairobi,true,orders-0037
SS-O0038,SS-J0038,2026-09-02T10:00:00.000Z,2026-09-02,200,USD,completed,Africa/Nairobi,true,orders-0038
SS-O0039,SS-J0039,2026-09-03T10:00:00.000Z,2026-09-03,200,USD,completed,Africa/Nairobi,true,orders-0039
SS-O0040,SS-J0040,2026-09-04T10:00:00.000Z,2026-09-04,200,USD,completed,Africa/Nairobi,true,orders-0040
SS-O0041,SS-J0041,2026-09-05T10:00:00.000Z,2026-09-05,200,USD,completed,Africa/Nairobi,true,orders-0041
SS-O0042,SS-J0042,2026-09-06T10:00:00.000Z,2026-09-06,200,USD,completed,Africa/Nairobi,true,orders-0042
