touch_id,journey_id,order_id,touch_at,touch_date,channel,campaign_id,interaction,currency,synthetic
SS-T0001,SS-J0001,SS-O0001,2026-08-22T09:00:00.000Z,2026-08-22,Meta Ads,SS-META-01,click,USD,true
SS-T0002,SS-J0001,SS-O0001,2026-08-23T09:00:00.000Z,2026-08-23,Google Ads,SS-GOOGLE-01,click,USD,true
SS-T0003,SS-J0002,SS-O0002,2026-08-23T09:00:00.000Z,2026-08-23,Meta Ads,SS-META-01,click,USD,true
SS-T0004,SS-J0002,SS-O0002,2026-08-24T09:00:00.000Z,2026-08-24,Google Ads,SS-GOOGLE-01,click,USD,true
SS-T0005,SS-J0003,SS-O0003,2026-08-24T09:00:00.000Z,2026-08-24,Meta Ads,SS-META-01,click,USD,true
SS-T0006,SS-J0003,SS-O0003,2026-08-25T09:00:00.000Z,2026-08-25,Google Ads,SS-GOOGLE-01,click,USD,true
SS-T0007,SS-J0004,SS-O0004,2026-08-25T09:00:00.000Z,2026-08-25,Meta Ads,SS-META-01,click,USD,true
SS-T0008,SS-J0004,SS-O0004,2026-08-26T09:00:00.000Z,2026-08-26,Google Ads,SS-GOOGLE-01,click,USD,true
SS-T0009,SS-J0005,SS-O0005,2026-08-26T09:00:00.000Z,2026-08-26,Meta Ads,SS-META-01,click,USD,true
SS-T0010,SS-J0005,SS-O0005,2026-08-27T09:00:00.000Z,2026-08-27,Google Ads,SS-GOOGLE-01,click,USD,true
SS-T0011,SS-J0006,SS-O0006,2026-08-27T09:00:00.000Z,2026-08-27,Meta Ads,SS-META-01,click,USD,true
SS-T0012,SS-J0006,SS-O0006,2026-08-28T09:00:00.000Z,2026-08-28,Google Ads,SS-GOOGLE-01,click,USD,true
SS-T0013,SS-J0007,SS-O0007,2026-08-28T09:00:00.000Z,2026-08-28,Meta Ads,SS-META-01,click,USD,true
SS-T0014,SS-J0007,SS-O0007,2026-08-29T09:00:00.000Z,2026-08-29,Google Ads,SS-GOOGLE-01,click,USD,true
SS-T0015,SS-J0008,SS-O0008,2026-08-29T09:00:00.000Z,2026-08-29,Meta Ads,SS-META-01,click,USD,true
SS-T0016,SS-J0008,SS-O0008,2026-08-30T09:00:00.000Z,2026-08-30,Google Ads,SS-GOOGLE-01,click,USD,true
SS-T0017,SS-J0009,SS-O0009,2026-08-30T09:00:00.000Z,2026-08-30,Meta Ads,SS-META-01,click,USD,true
SS-T0018,SS-J0009,SS-O0009,2026-08-31T09:00:00.000Z,2026-08-31,Google Ads,SS-GOOGLE-01,click,USD,true
SS-T0019,SS-J0010,SS-O0010,2026-08-31T09:00:00.000Z,2026-08-31,Meta Ads,SS-META-01,click,USD,true
SS-T0020,SS-J0010,SS-O0010,2026-09-01T09:00:00.000Z,2026-09-01,Google Ads,SS-GOOGLE-01,click,USD,true
SS-T0021,SS-J0011,SS-O0011,2026-09-01T09:00:00.000Z,2026-09-01,Meta Ads,SS-META-01,click,USD,true
SS-T0022,SS-J0011,SS-O0011,2026-09-02T09:00:00.000Z,2026-09-02,Google Ads,SS-GOOGLE-01,click,USD,true
SS-T0023,SS-J0012,SS-O0012,2026-09-02T09:00:00.000Z,2026-09-02,Meta Ads,SS-META-01,click,USD,true
SS-T0024,SS-J0012,SS-O0012,2026-09-03T09:00:00.000Z,2026-09-03,Google Ads,SS-GOOGLE-01,click,USD,true
SS-T0025,SS-J0013,SS-O0013,2026-09-03T09:00:00.000Z,2026-09-03,Meta Ads,SS-META-01,click,USD,true
SS-T0026,SS-J0013,SS-O0013,2026-09-04T09:00:00.000Z,2026-09-04,Google Ads,SS-GOOGLE-01,click,USD,true
SS-T0027,SS-J0014,SS-O0014,2026-09-04T09:00:00.000Z,2026-09-04,Meta Ads,SS-META-01,click,USD,true
SS-T0028,SS-J0014,SS-O0014,2026-09-05T09:00:00.000Z,2026-09-05,Google Ads,SS-GOOGLE-01,click,USD,true
SS-T0029,SS-J0015,SS-O0015,2026-09-05T09:00:00.000Z,2026-09-05,Meta Ads,SS-META-01,click,USD,true
SS-T0030,SS-J0015,SS-O0015,2026-09-06T09:00:00.000Z,2026-09-06,Google Ads,SS-GOOGLE-01,click,USD,true
SS-T0031,SS-J0016,SS-O0016,2026-09-06T09:00:00.000Z,2026-09-06,Meta Ads,SS-META-01,click,USD,true
SS-T0032,SS-J0016,SS-O0016,2026-09-07T09:00:00.000Z,2026-09-07,Google Ads,SS-GOOGLE-01,click,USD,true
SS-T0033,SS-J0017,SS-O0017,2026-09-07T09:00:00.000Z,2026-09-07,Meta Ads,SS-META-01,click,USD,true
SS-T0034,SS-J0017,SS-O0017,2026-09-08T09:00:00.000Z,2026-09-08,Google Ads,SS-GOOGLE-01,click,USD,true
SS-T0035,SS-J0018,SS-O0018,2026-09-08T09:00:00.000Z,2026-09-08,Meta Ads,SS-META-01,click,USD,true
SS-T0036,SS-J0018,SS-O0018,2026-09-09T09:00:00.000Z,2026-09-09,Google Ads,SS-GOOGLE-01,click,USD,true
